problem,prover,kind,verdict,relation,expected,raw,actual,wall_s,rc,passed,diag
ODRL422-1,vampire-casc,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.042,0,Y,
ODRL422-1,vampire-discount,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.009,0,Y,
ODRL422-1,vampire-lrs,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.006,0,Y,
ODRL422-1,vampire-otter,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL422-1,eprover,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.008,0,Y,
ODRL422-1,z3,smt,Conflict,conflict,unsat,unsat,unsat,0.020,0,Y,
ODRL422-1,cvc5,smt,Conflict,conflict,unsat,unsat,unsat,0.004,0,Y,
ODRL421-1,vampire-casc,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.047,0,Y,
ODRL421-1,vampire-discount,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.006,0,Y,
ODRL421-1,vampire-lrs,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.008,0,Y,
ODRL421-1,vampire-otter,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.006,0,Y,
ODRL421-1,eprover,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.006,0,Y,
ODRL421-1,z3,smt,Conflict,conflict,unsat,unsat,unsat,0.022,0,Y,
ODRL421-1,cvc5,smt,Conflict,conflict,unsat,unsat,unsat,0.005,0,Y,
ODRL420-1,vampire-casc,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.047,0,Y,
ODRL420-1,vampire-discount,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.006,0,Y,
ODRL420-1,vampire-lrs,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.011,0,Y,
ODRL420-1,vampire-otter,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.008,0,Y,
ODRL420-1,eprover,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.006,0,Y,
ODRL420-1,z3,smt,Compatible,conflict,sat,sat,sat,0.021,0,Y,
ODRL420-1,cvc5,smt,Compatible,conflict,sat,sat,sat,0.007,0,Y,
ODRL424-1,vampire-casc,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.013,0,Y,
ODRL424-1,vampire-discount,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.004,0,Y,
ODRL424-1,vampire-lrs,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.007,0,Y,
ODRL424-1,vampire-otter,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.006,0,Y,
ODRL424-1,eprover,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.006,0,Y,
ODRL424-1,z3,smt,Compatible,conflict,sat,sat,sat,0.010,0,Y,
ODRL424-1,cvc5,smt,Compatible,conflict,sat,sat,sat,0.004,0,Y,
ODRL425-1,vampire-casc,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.010,0,Y,
ODRL425-1,vampire-discount,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL425-1,vampire-lrs,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.008,0,Y,
ODRL425-1,vampire-otter,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.006,0,Y,
ODRL425-1,eprover,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.004,0,Y,
ODRL425-1,z3,smt,Compatible,conflict,sat,sat,sat,0.012,0,Y,
ODRL425-1,cvc5,smt,Compatible,conflict,sat,sat,sat,0.007,0,Y,
ODRL426-1,vampire-casc,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.012,0,Y,
ODRL426-1,vampire-discount,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL426-1,vampire-lrs,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL426-1,vampire-otter,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.007,0,Y,
ODRL426-1,eprover,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.006,0,Y,
ODRL426-1,z3,smt,Conflict,conflict,unsat,unsat,unsat,0.012,0,Y,
ODRL426-1,cvc5,smt,Conflict,conflict,unsat,unsat,unsat,0.005,0,Y,
ODRL427-1,vampire-casc,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.013,0,Y,
ODRL427-1,vampire-discount,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL427-1,vampire-lrs,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.004,0,Y,
ODRL427-1,vampire-otter,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.004,0,Y,
ODRL427-1,eprover,fof,Conflict,conflict,Theorem,Theorem,Theorem,0.004,0,Y,
ODRL427-1,z3,smt,Conflict,conflict,unsat,unsat,unsat,0.010,0,Y,
ODRL427-1,cvc5,smt,Conflict,conflict,unsat,unsat,unsat,0.004,0,Y,
ODRL428-1,vampire-casc,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.045,0,Y,
ODRL428-1,vampire-discount,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.006,0,Y,
ODRL428-1,vampire-lrs,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.007,0,Y,
ODRL428-1,vampire-otter,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.004,0,Y,
ODRL428-1,eprover,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.004,0,Y,
ODRL428-1,z3,smt,Compatible,conflict,sat,sat,sat,0.010,0,Y,
ODRL428-1,cvc5,smt,Compatible,conflict,sat,sat,sat,0.004,0,Y,
ODRL429-1,vampire-casc,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.041,0,Y,
ODRL429-1,vampire-discount,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL429-1,vampire-lrs,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.007,0,Y,
ODRL429-1,vampire-otter,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
ODRL429-1,eprover,fof,Compatible,conflict,Theorem,Theorem,Theorem,0.005,0,Y,
