Problem,Category,Clauses,Literals,Predicates,Constants,Variables,MaxTermDepth,IsEPR,SPC
ODRL170-1,AdvDeep,3,9,4,14,32,1,True,FOF_THM_EPR
ODRL171-1,AdvDeep,3,9,4,15,30,1,True,FOF_THM_EPR
ODRL172-1,AdvDeep,3,9,4,15,31,1,True,FOF_THM_EPR
ODRL173-1,AdvDeep,3,9,4,14,31,1,True,FOF_THM_EPR
ODRL174-1,AdvDeep,3,9,4,14,31,1,True,FOF_THM_EPR
ODRL175-1,AdvDeep,3,9,4,11,31,1,True,FOF_THM_EPR
ODRL176-1,AdvDeep,3,9,4,12,30,1,True,FOF_THM_EPR
ODRL177-1,AdvDeep,3,9,4,15,32,1,True,FOF_THM_EPR
ODRL178-1,AdvDeep,3,9,4,14,31,1,True,FOF_THM_EPR
ODRL179-1,AdvDeep,5,17,4,23,31,1,True,FOF_CSA_EPR
ODRL180-1,AdvDeep,3,10,4,15,32,1,True,FOF_THM_EPR
ODRL181-1,AdvDeep,4,11,7,19,32,1,True,FOF_THM_EPR
ODRL040-1,Adversarial,7,8,6,41,32,1,True,FOF_THM_EPR
ODRL041-1,Adversarial,8,11,7,48,36,1,True,FOF_THM_EPR
ODRL042-1,Adversarial,7,8,7,55,37,1,True,FOF_THM_EPR
ODRL043-1,Adversarial,9,12,7,75,45,1,True,FOF_CSA_EPR
ODRL044-1,Adversarial,7,8,5,73,44,1,True,FOF_CSA_EPR
ODRL045-1,Adversarial,8,10,8,83,58,1,True,FOF_CSA_EPR
ODRL045-2,Adversarial,9,11,9,52,42,1,True,FOF_THM_EPR
ODRL190-1,AlignAdv,3,9,4,15,31,1,True,FOF_CSA_EPR
ODRL191-1,AlignAdv,3,9,4,15,29,1,True,FOF_CSA_EPR
ODRL192-1,AlignAdv,3,9,4,14,30,1,True,FOF_CSA_EPR
ODRL193-1,AlignAdv,4,12,6,19,30,1,True,FOF_THM_EPR
ODRL194-1,AlignAdv,4,11,7,18,31,1,True,FOF_THM_EPR
ODRL195-1,AlignAdv,3,9,4,13,29,1,True,FOF_THM_EPR
ODRL196-1,AlignAdv,3,9,4,13,30,1,True,FOF_THM_EPR
ODRL197-1,AlignAdv,3,9,4,12,29,1,True,FOF_THM_EPR
ODRL198-1,AlignAdv,7,25,4,28,31,1,True,FOF_CSA_EPR
ODRL199-1,AlignAdv,7,25,4,30,31,1,True,FOF_CSA_EPR
ODRL057-1,Alignment,3,8,7,36,41,1,True,FOF_THM_EPR
ODRL058-1,Alignment,3,8,7,36,43,1,True,FOF_THM_EPR
ODRL059-1,Alignment,3,8,6,43,46,1,True,FOF_CSA_EPR
ODRL059-2,Alignment,3,8,6,30,37,1,True,FOF_CSA_EPR
ODRL060-1,Alignment,3,8,7,29,41,1,True,FOF_THM_EPR
ODRL061-1,Alignment,3,8,6,27,42,1,True,FOF_THM_EPR
ODRL062-1,Alignment,3,8,6,33,43,1,True,FOF_CSA_EPR
ODRL062-2,Alignment,3,8,6,25,35,1,True,FOF_CSA_EPR
ODRL063-1,Alignment,3,8,5,28,41,1,True,FOF_THM_EPR
ODRL064-1,Alignment,3,8,5,28,42,1,True,FOF_THM_EPR
ODRL065-1,Alignment,3,8,6,32,44,1,True,FOF_CSA_EPR
ODRL065-2,Alignment,3,8,6,24,35,1,True,FOF_CSA_EPR
ODRL066-1,Alignment,7,24,9,71,61,1,True,FOF_CSA_EPR
ODRL200-1,CompDeep,7,25,4,29,32,1,True,FOF_THM_EPR
ODRL201-1,CompDeep,7,25,4,30,31,1,True,FOF_CSA_EPR
ODRL202-1,CompDeep,4,14,4,19,31,1,True,FOF_THM_EPR
ODRL203-1,CompDeep,4,14,4,17,29,1,True,FOF_THM_EPR
ODRL204-1,CompDeep,4,16,4,17,31,1,True,FOF_CSA_EPR
ODRL205-1,CompDeep,4,16,4,17,30,1,True,FOF_CSA_EPR
ODRL206-1,CompDeep,6,22,5,24,31,1,True,FOF_THM_EPR
ODRL207-1,CompDeep,6,24,4,26,32,1,True,FOF_CSA_EPR
ODRL030-1,CrossDataspace,17,21,6,44,41,1,True,FOF_THM_EPR
ODRL031-1,CrossDataspace,17,21,5,58,40,1,True,FOF_CSA_EPR
ODRL032-1,CrossDataspace,9,11,7,49,36,1,True,FOF_THM_EPR
