problem,subdir,header_ok,header_msg,includes_ok,includes_msg,predicates_ok,predicates_msg,fof_syntax_ok,fof_syntax_msg,smt_syntax_ok,smt_syntax_msg,ttl_syntax_ok,ttl_syntax_msg,verdict,relation,expected_status,expected_smt,fof_szs,smt_szs,fof_audit_ok,smt_audit_ok
ODRL420-1,Boundary,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,conflict,Theorem,sat,,,-,-
ODRL421-1,Boundary,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,conflict,Theorem,unsat,,,-,-
ODRL422-1,Boundary,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,conflict,Theorem,unsat,,,-,-
ODRL423-1,Boundary,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,conflict,Theorem,unsat,,,-,-
ODRL424-1,Boundary,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,conflict,Theorem,sat,,,-,-
ODRL425-1,Boundary,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,conflict,Theorem,sat,,,-,-
ODRL426-1,Boundary,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,conflict,Theorem,unsat,,,-,-
ODRL427-1,Boundary,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,conflict,Theorem,unsat,,,-,-
ODRL428-1,Boundary,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,conflict,Theorem,sat,,,-,-
ODRL429-1,Boundary,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,conflict,Theorem,sat,,,-,-
ODRL430-1,Boundary,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,conflict,Theorem,sat,,,-,-
ODRL431-1,Boundary,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,conflict,Theorem,unsat,,,-,-
ODRL432-1,Boundary,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,conflict,Theorem,unsat,,,-,-
ODRL433-1,Boundary,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,subsumption,Theorem,unsat,,,-,-
ODRL434-1,Boundary,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,subsumption,Theorem,sat,,,-,-
ODRL435-1,Boundary,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,conflict,Theorem,sat,,,-,-
ODRL320-1,Box2D,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,conflict,Theorem,unsat,,,-,-
ODRL321-1,Box2D,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,conflict,Theorem,unsat,,,-,-
ODRL322-1,Box2D,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,conflict,Theorem,unsat,,,-,-
ODRL323-1,Box2D,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,conflict,Theorem,sat,,,-,-
ODRL324-1,Box2D,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,conflict,Theorem,sat,,,-,-
ODRL325-1,Box2D,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,conflict,Theorem,sat,,,-,-
ODRL326-1,Box2D,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,conflict,Theorem,unsat,,,-,-
ODRL327-1,Box2D,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,conflict,Theorem,sat,,,-,-
ODRL328-1,Box2D,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,conflict,Theorem,unsat,,,-,-
ODRL329-1,Box2D,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Compatible,conflict,Theorem,sat,,,-,-
ODRL330-1,Box2D,Y,,Y,,N,undefined predicates: ['distinct'],Y,,Y,,Y,(rdflib unavailable; passed regex sniff),Conflict,conflict,Theorem,unsat,,,-,-
