category,file,expected,vampire,vampire_t,pass
NWayComposed,ODRL170-1.p,Theorem,Theorem,0.06,True
NWayComposed,ODRL171-1.p,Theorem,Unknown,30.07,False
NWayComposed,ODRL172-1.p,Theorem,Theorem,0.07,True
NWayComposed,ODRL173-1.p,Theorem,Unknown,30.11,False
NWayComposed,ODRL174-1.p,Theorem,Theorem,0.07,True
NWayComposed,ODRL175-1.p,Theorem,Theorem,0.06,True
NWayComposed,ODRL200-1.p,Theorem,Theorem,0.06,True
NWayComposed,ODRL201-1.p,Theorem,Theorem,0.06,True
NWayComposed,ODRL202-1.p,Theorem,Unknown,30.09,False
NWayComposed,ODRL203-1.p,Theorem,Theorem,0.11,True
NWayComposed,ODRL204-1.p,Theorem,Theorem,0.06,True
NWayComposed,ODRL205-1.p,CounterSatisfiable,Theorem,0.06,False
