Problem,Category,Expected,Rating,SPC,vampire_status,vampire_time,vampire_correct,z3_status,z3_time,z3_correct
ODRL170-1,AdvDeep,Theorem,0.0,FOF_THM_EPR,Theorem,0.086,✓,Theorem,0.205,✓
ODRL171-1,AdvDeep,Theorem,0.0,FOF_THM_EPR,Theorem,0.070,✓,Theorem,0.061,✓
ODRL172-1,AdvDeep,Theorem,0.0,FOF_THM_EPR,Theorem,0.070,✓,Theorem,0.058,✓
ODRL173-1,AdvDeep,Theorem,0.0,FOF_THM_EPR,Theorem,0.065,✓,Theorem,0.071,✓
ODRL174-1,AdvDeep,Theorem,0.0,FOF_THM_EPR,Theorem,0.062,✓,Theorem,0.058,✓
ODRL175-1,AdvDeep,Theorem,0.0,FOF_THM_EPR,Theorem,0.065,✓,Theorem,0.059,✓
ODRL176-1,AdvDeep,Theorem,0.0,FOF_THM_EPR,Theorem,0.061,✓,Theorem,0.061,✓
ODRL177-1,AdvDeep,Theorem,0.0,FOF_THM_EPR,Theorem,0.063,✓,Theorem,0.065,✓
ODRL178-1,AdvDeep,Theorem,0.0,FOF_THM_EPR,Theorem,0.062,✓,Theorem,0.057,✓
ODRL179-1,AdvDeep,CounterSatisfiable,0.0,FOF_CSA_EPR,CounterSatisfiable,1.052,✓,CounterSatisfiable,0.203,✓
ODRL180-1,AdvDeep,Theorem,0.0,FOF_THM_EPR,Theorem,0.074,✓,Theorem,0.062,✓
ODRL181-1,AdvDeep,Theorem,0.0,FOF_THM_EPR,Theorem,0.112,✓,Theorem,0.056,✓
ODRL040-1,Adversarial,Theorem,0.0,FOF_THM_EPR,Theorem,0.066,✓,Theorem,0.063,✓
ODRL041-1,Adversarial,Theorem,0.0,FOF_THM_EPR,Theorem,0.067,✓,Theorem,0.083,✓
ODRL042-1,Adversarial,Theorem,0.0,FOF_THM_EPR,Theorem,0.063,✓,Theorem,0.081,✓
ODRL043-1,Adversarial,CounterSatisfiable,0.0,FOF_CSA_EPR,CounterSatisfiable,1.140,✓,CounterSatisfiable,0.111,✓
ODRL044-1,Adversarial,CounterSatisfiable,0.0,FOF_CSA_EPR,CounterSatisfiable,0.911,✓,CounterSatisfiable,0.293,✓
ODRL045-1,Adversarial,CounterSatisfiable,0.0,FOF_CSA_EPR,CounterSatisfiable,1.128,✓,CounterSatisfiable,0.118,✓
ODRL045-2,Adversarial,Theorem,0.0,FOF_THM_EPR,Theorem,0.069,✓,Theorem,0.060,✓
ODRL190-1,AlignAdv,CounterSatisfiable,0.0,FOF_CSA_EPR,CounterSatisfiable,0.703,✓,CounterSatisfiable,0.078,✓
ODRL191-1,AlignAdv,CounterSatisfiable,0.0,FOF_CSA_EPR,CounterSatisfiable,0.808,✓,CounterSatisfiable,0.093,✓
ODRL192-1,AlignAdv,CounterSatisfiable,0.0,FOF_CSA_EPR,CounterSatisfiable,1.006,✓,CounterSatisfiable,0.074,✓
ODRL193-1,AlignAdv,Theorem,0.0,FOF_THM_EPR,Theorem,0.071,✓,Theorem,0.093,✓
ODRL194-1,AlignAdv,Theorem,0.0,FOF_THM_EPR,Theorem,0.062,✓,Theorem,0.062,✓
ODRL195-1,AlignAdv,Theorem,0.0,FOF_THM_EPR,Theorem,0.062,✓,Theorem,0.060,✓
ODRL196-1,AlignAdv,Theorem,0.0,FOF_THM_EPR,Theorem,0.069,✓,Theorem,0.063,✓
ODRL197-1,AlignAdv,Theorem,0.0,FOF_THM_EPR,Theorem,0.066,✓,Theorem,0.060,✓
ODRL198-1,AlignAdv,CounterSatisfiable,0.0,FOF_CSA_EPR,CounterSatisfiable,0.912,✓,CounterSatisfiable,0.472,✓
ODRL199-1,AlignAdv,CounterSatisfiable,0.0,FOF_CSA_EPR,CounterSatisfiable,1.185,✓,CounterSatisfiable,0.332,✓
ODRL057-1,Alignment,Theorem,0.0,FOF_THM_EPR,Theorem,0.113,✓,Theorem,0.064,✓
ODRL058-1,Alignment,Theorem,0.0,FOF_THM_EPR,Theorem,0.083,✓,Theorem,0.064,✓
ODRL059-1,Alignment,CounterSatisfiable,0.0,FOF_CSA_EPR,CounterSatisfiable,0.728,✓,CounterSatisfiable,0.071,✓
ODRL059-2,Alignment,CounterSatisfiable,0.0,FOF_CSA_EPR,CounterSatisfiable,0.817,✓,CounterSatisfiable,0.077,✓
ODRL060-1,Alignment,Theorem,0.0,FOF_THM_EPR,Theorem,0.068,✓,Theorem,0.058,✓
ODRL061-1,Alignment,Theorem,0.0,FOF_THM_EPR,Theorem,0.106,✓,Theorem,0.063,✓
ODRL062-1,Alignment,CounterSatisfiable,0.0,FOF_CSA_EPR,CounterSatisfiable,1.012,✓,CounterSatisfiable,0.066,✓
ODRL062-2,Alignment,CounterSatisfiable,0.0,FOF_CSA_EPR,CounterSatisfiable,1.012,✓,CounterSatisfiable,0.073,✓
ODRL063-1,Alignment,Theorem,0.0,FOF_THM_EPR,Theorem,0.068,✓,Theorem,0.055,✓
ODRL064-1,Alignment,Theorem,0.0,FOF_THM_EPR,Theorem,0.064,✓,Theorem,0.062,✓
ODRL065-1,Alignment,CounterSatisfiable,0.0,FOF_CSA_EPR,CounterSatisfiable,1.008,✓,CounterSatisfiable,0.093,✓
ODRL065-2,Alignment,CounterSatisfiable,0.0,FOF_CSA_EPR,CounterSatisfiable,1.020,✓,CounterSatisfiable,0.096,✓
ODRL066-1,Alignment,CounterSatisfiable,0.0,FOF_CSA_EPR,CounterSatisfiable,1.034,✓,CounterSatisfiable,0.175,✓
ODRL200-1,CompDeep,Theorem,0.0,FOF_THM_EPR,Theorem,0.086,✓,Theorem,0.191,✓
ODRL201-1,CompDeep,CounterSatisfiable,0.0,FOF_CSA_EPR,CounterSatisfiable,0.920,✓,CounterSatisfiable,0.417,✓
ODRL202-1,CompDeep,Theorem,0.0,FOF_THM_EPR,Theorem,0.069,✓,Theorem,0.090,✓
ODRL203-1,CompDeep,Theorem,0.0,FOF_THM_EPR,Theorem,0.066,✓,Theorem,0.061,✓
ODRL204-1,CompDeep,CounterSatisfiable,0.0,FOF_CSA_EPR,CounterSatisfiable,0.914,✓,CounterSatisfiable,0.141,✓
ODRL205-1,CompDeep,CounterSatisfiable,0.0,FOF_CSA_EPR,CounterSatisfiable,1.018,✓,CounterSatisfiable,0.127,✓
ODRL206-1,CompDeep,Theorem,0.0,FOF_THM_EPR,Theorem,0.076,✓,Theorem,0.109,✓
ODRL207-1,CompDeep,CounterSatisfiable,0.0,FOF_CSA_EPR,CounterSatisfiable,1.025,✓,CounterSatisfiable,0.227,✓
ODRL030-1,CrossDataspace,Theorem,0.0,FOF_THM_EPR,Theorem,0.082,✓,Theorem,0.106,✓
ODRL031-1,CrossDataspace,CounterSatisfiable,0.0,FOF_CSA_EPR,CounterSatisfiable,0.912,✓,CounterSatisfiable,0.201,✓
ODRL032-1,CrossDataspace,Theorem,0.0,FOF_THM_EPR,Theorem,0.074,✓,Theorem,0.059,✓
ODRL033-1,CrossDataspace,CounterSatisfiable,0.0,FOF_CSA_EPR,CounterSatisfiable,1.021,✓,CounterSatisfiable,0.198,✓
ODRL055-1,CrossDataspace,CounterSatisfiable,0.0,FOF_CSA_EPR,CounterSatisfiable,1.023,✓,CounterSatisfiable,0.414,✓
ODRL056-1,CrossDataspace,Theorem,0.0,FOF_THM_EPR,Theorem,0.075,✓,Theorem,0.056,✓
ODRL100-1,HasPart,Theorem,0.0,FOF_THM_EPR,Theorem,0.079,✓,Theorem,0.066,✓
ODRL101-1,HasPart,Theorem,0.0,FOF_THM_EPR,Theorem,0.077,✓,Theorem,0.064,✓
ODRL102-1,HasPart,Theorem,0.0,FOF_THM_EPR,Theorem,0.070,✓,Theorem,0.056,✓
ODRL103-1,HasPart,Theorem,0.0,FOF_THM_EPR,Theorem,0.067,✓,Theorem,0.062,✓
ODRL104-1,HasPart,Theorem,0.0,FOF_THM_EPR,Theorem,0.065,✓,Theorem,0.056,✓
ODRL105-1,HasPart,Theorem,0.0,FOF_THM_EPR,Theorem,0.071,✓,Theorem,0.060,✓
ODRL106-1,HasPart,Theorem,0.0,FOF_THM_EPR,Theorem,0.070,✓,Theorem,0.067,✓
ODRL120-1,IsAllOf,Theorem,0.0,FOF_THM_EPR,Theorem,0.068,✓,Theorem,0.056,✓
ODRL121-1,IsAllOf,CounterSatisfiable,0.0,FOF_CSA_EPR,CounterSatisfiable,1.116,✓,CounterSatisfiable,0.117,✓
ODRL122-1,IsAllOf,Theorem,0.0,FOF_THM_EPR,Theorem,0.078,✓,Theorem,0.056,✓
ODRL123-1,IsAllOf,CounterSatisfiable,0.0,FOF_CSA_EPR,CounterSatisfiable,1.117,✓,CounterSatisfiable,0.115,✓
ODRL124-1,IsAllOf,Theorem,0.0,FOF_THM_EPR,Theorem,0.077,✓,Theorem,0.061,✓
ODRL125-1,IsAllOf,CounterSatisfiable,0.0,FOF_CSA_EPR,CounterSatisfiable,1.112,✓,CounterSatisfiable,0.070,✓
ODRL126-1,IsAllOf,Theorem,0.0,FOF_THM_EPR,Theorem,0.069,✓,Theorem,0.054,✓
ODRL127-1,IsAllOf,Theorem,0.0,FOF_THM_EPR,Theorem,0.066,✓,Theorem,0.081,✓
ODRL128-1,IsAllOf,CounterSatisfiable,0.0,FOF_CSA_EPR,CounterSatisfiable,1.109,✓,CounterSatisfiable,0.151,✓
ODRL110-1,IsAnyOf,Theorem,0.0,FOF_THM_EPR,Theorem,0.070,✓,Theorem,0.077,✓
ODRL111-1,IsAnyOf,Theorem,0.0,FOF_THM_EPR,Theorem,0.066,✓,Theorem,0.059,✓
ODRL112-1,IsAnyOf,CounterSatisfiable,0.0,FOF_CSA_EPR,CounterSatisfiable,1.008,✓,CounterSatisfiable,0.110,✓
ODRL113-1,IsAnyOf,Theorem,0.0,FOF_THM_EPR,Theorem,0.070,✓,Theorem,0.063,✓
ODRL114-1,IsAnyOf,Theorem,0.0,FOF_THM_EPR,Theorem,0.256,✓,Theorem,0.065,✓
ODRL115-1,IsAnyOf,CounterSatisfiable,0.0,FOF_CSA_EPR,CounterSatisfiable,0.921,✓,CounterSatisfiable,0.084,✓
ODRL116-1,IsAnyOf,Theorem,0.0,FOF_THM_EPR,Theorem,0.075,✓,Theorem,0.088,✓
ODRL117-1,IsAnyOf,CounterSatisfiable,0.0,FOF_CSA_EPR,CounterSatisfiable,0.623,✓,CounterSatisfiable,0.107,✓
ODRL118-1,IsAnyOf,Theorem,0.0,FOF_THM_EPR,Theorem,0.077,✓,Theorem,0.064,✓
ODRL130-1,IsNoneOf,Theorem,0.0,FOF_THM_EPR,Theorem,0.067,✓,Theorem,0.057,✓
ODRL131-1,IsNoneOf,Theorem,0.0,FOF_THM_EPR,Theorem,0.072,✓,Theorem,0.058,✓
