category,file,expected,vampire,vampire_t,pass
DAGMultiParent,ODRL100-1.p,Theorem,ContradictoryAxioms,0.10,True
DAGMultiParent,ODRL101-1.p,Theorem,Theorem,0.27,True
DAGMultiParent,ODRL102-1.p,CounterSatisfiable,Unknown,30.09,True
DAGMultiParent,ODRL103-1.p,CounterSatisfiable,Unknown,30.13,True
DAGMultiParent,ODRL104-1.p,Theorem,Theorem,0.14,True
DAGMultiParent,ODRL105-1.p,Theorem,Theorem,0.06,True
NestedSetOperators,ODRL110-1.p,Theorem,Theorem,0.07,True
NestedSetOperators,ODRL111-1.p,Theorem,Theorem,0.32,True
NestedSetOperators,ODRL112-1.p,CounterSatisfiable,Unknown,30.08,True
NestedSetOperators,ODRL113-1.p,Theorem,Theorem,0.08,True
NestedSetOperators,ODRL114-1.p,Theorem,Theorem,0.06,True
QuantifierStress,ODRL120-1.p,Theorem,Theorem,0.06,True
QuantifierStress,ODRL121-1.p,Theorem,Theorem,0.06,True
QuantifierStress,ODRL122-1.p,Theorem,Theorem,0.06,True
QuantifierStress,ODRL123-1.p,Theorem,Theorem,0.06,True
LargeComposition,ODRL130-1.p,Theorem,Unknown,30.07,False
LargeComposition,ODRL131-1.p,CounterSatisfiable,Unknown,30.08,True
LargeComposition,ODRL132-1.p,Theorem,Theorem,0.07,True
EdgeCases,ODRL140-1.p,CounterSatisfiable,Unknown,30.07,True
EdgeCases,ODRL141-1.p,Theorem,Theorem,0.06,True
EdgeCases,ODRL142-1.p,CounterSatisfiable,Unknown,30.07,True
EdgeCases,ODRL143-1.p,Theorem,Theorem,0.06,True
EdgeCases,ODRL144-1.p,Theorem,Theorem,0.06,True
EdgeCases,ODRL145-1.p,CounterSatisfiable,Unknown,30.06,True
MultiHopAlignment,ODRL080-1.p,Theorem,Theorem,0.07,True
MultiHopAlignment,ODRL081-1.p,Theorem,Theorem,0.11,True
MultiHopAlignment,ODRL082-1.p,Theorem,Theorem,0.06,True
MultiHopAlignment,ODRL083-1.p,Theorem,Theorem,0.06,True
MultiHopAlignment,ODRL084-1.p,Theorem,Theorem,0.06,True
MultiHopAlignment,ODRL085-1.p,CounterSatisfiable,Unknown,30.07,True
MultiHopAlignment,ODRL086-1.p,Theorem,Theorem,0.07,True
MultiHopAlignment,ODRL087-1.p,Theorem,Theorem,0.06,True
MultiHopAlignment,ODRL088-1.p,CounterSatisfiable,Unknown,30.07,True
MultiHopAlignment,ODRL089-1.p,CounterSatisfiable,Unknown,30.08,True
MultiHopAlignment,ODRL089-2.p,Theorem,Theorem,0.08,True
MultiHopAlignment,ODRL150-1.p,CounterSatisfiable,Unknown,30.07,True
MultiHopAlignment,ODRL151-1.p,Theorem,Theorem,0.07,True
MultiHopAlignment,ODRL152-1.p,CounterSatisfiable,Unknown,30.06,True
MultiHopAlignment,ODRL153-1.p,Theorem,Theorem,0.08,True
MultiHopAlignment,ODRL154-1.p,CounterSatisfiable,Unknown,30.11,True
