Problem,Category,Rating
ODRL170-1,AdvDeep,0.0
ODRL171-1,AdvDeep,0.0
ODRL172-1,AdvDeep,0.0
ODRL173-1,AdvDeep,0.0
ODRL174-1,AdvDeep,0.0
ODRL175-1,AdvDeep,0.0
ODRL176-1,AdvDeep,0.0
ODRL177-1,AdvDeep,0.0
ODRL178-1,AdvDeep,0.0
ODRL179-1,AdvDeep,0.0
ODRL180-1,AdvDeep,0.0
ODRL181-1,AdvDeep,0.0
ODRL040-1,Adversarial,0.0
ODRL041-1,Adversarial,0.0
ODRL042-1,Adversarial,0.0
ODRL043-1,Adversarial,0.0
ODRL044-1,Adversarial,0.0
ODRL045-1,Adversarial,0.0
ODRL045-2,Adversarial,0.0
ODRL190-1,AlignAdv,0.0
ODRL191-1,AlignAdv,0.0
ODRL192-1,AlignAdv,0.0
ODRL193-1,AlignAdv,0.0
ODRL194-1,AlignAdv,0.0
ODRL195-1,AlignAdv,0.0
ODRL196-1,AlignAdv,0.0
ODRL197-1,AlignAdv,0.0
ODRL198-1,AlignAdv,0.0
ODRL199-1,AlignAdv,0.0
ODRL057-1,Alignment,0.0
ODRL058-1,Alignment,0.0
ODRL059-1,Alignment,0.0
ODRL059-2,Alignment,0.0
ODRL060-1,Alignment,0.0
ODRL061-1,Alignment,0.0
ODRL062-1,Alignment,0.0
ODRL062-2,Alignment,0.0
ODRL063-1,Alignment,0.0
ODRL064-1,Alignment,0.0
ODRL065-1,Alignment,0.0
ODRL065-2,Alignment,0.0
ODRL066-1,Alignment,0.0
ODRL200-1,CompDeep,0.0
ODRL201-1,CompDeep,0.0
ODRL202-1,CompDeep,0.0
ODRL203-1,CompDeep,0.0
ODRL204-1,CompDeep,0.0
ODRL205-1,CompDeep,0.0
ODRL206-1,CompDeep,0.0
ODRL207-1,CompDeep,0.0
ODRL030-1,CrossDataspace,0.0
ODRL031-1,CrossDataspace,0.0
ODRL032-1,CrossDataspace,0.0
ODRL033-1,CrossDataspace,0.0
ODRL055-1,CrossDataspace,0.0
ODRL056-1,CrossDataspace,0.0
ODRL100-1,HasPart,0.0
ODRL101-1,HasPart,0.0
ODRL102-1,HasPart,0.0
ODRL103-1,HasPart,0.0
ODRL104-1,HasPart,0.0
ODRL105-1,HasPart,0.0
ODRL106-1,HasPart,0.0
ODRL120-1,IsAllOf,0.0
